relative_pulse_current,residual_relaxation_at_3s_mV,t63_min,I_at_pulse_end,Istar_at_pulse_end,C_at_pulse_end
0.25,11.929933707245363,13.783333333333333,0.04407637347124684,0.03618199218343845,0.03487081717265724
0.5,16.95039364547453,13.783333333333333,0.06047232537952799,0.03299626941606458,0.04326570260220354
1.0,24.008196824220757,13.783333333333333,0.09481374310916979,0.028536282248207725,0.05832498732131132
2.0,33.1761308802778,13.95,0.16648856495862965,0.023451519885529598,0.08502995757792002
4.0,45.76731498525672,14.116666666666667,0.3131460346913465,0.017955859370816805,0.13444905296891826
