rest_time_s,residual_relaxation_to_3600s_mV,r1,r3,r1_plus_r3,rn
0,24.8939092415,-5.01795633856e-05,5.01795633856e-05,-7.79270311474e-19,3.24153525591e-06
3,24.8160237274,-4.9951987478e-05,4.99519874781e-05,1.66018457662e-18,3.22289745678e-06
10,24.634849297,-4.94244050124e-05,4.94244050124e-05,1.06387338175e-18,3.17994400584e-06
30,24.1215622861,-4.79435114297e-05,4.79435114297e-05,-2.51399378745e-18,3.06124563609e-06
60,23.3638467173,-4.57954440916e-05,4.57954440916e-05,1.40268656065e-18,2.89384795803e-06
180,20.4827215257,-3.80559651972e-05,3.80559651972e-05,-2.16162808139e-18,2.33488253673e-06
600,12.3103709532,-1.97481829236e-05,1.97481829236e-05,-1.18584612616e-19,1.26265394859e-06
1800,1.99393493889,-2.87634094921e-06,2.87634094921e-06,-9.10983934772e-19,5.75219479679e-07
3600,0,-1.29232469526e-07,1.29232469525e-07,-1.02117762725e-18,4.9321483907e-07
